run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,9.097745265054834363e+01,1.468277398038304455e+04,9.999451191814908713e-01,1.612474090000000615e+01,4.000000000000000000e+00,1.255834132503796940e+00
1.000000000000000000e+00,5.003489270389794541e+01,1.653214465892091175e+04,9.999213988453791169e-01,1.546769219999998768e+01,5.000000000000000000e+00,1.323322816056555329e+00
2.000000000000000000e+00,1.286206134069059637e+01,1.547543462436228765e+04,1.000334511297831686e+00,1.689565759999982220e+01,6.000000000000000000e+00,1.215179100220415087e+00
3.000000000000000000e+00,1.358351925887524771e+02,1.522250357492753938e+04,1.000194823839418490e+00,1.726933439999993425e+01,6.000000000000000000e+00,1.174408319987137350e+00
4.000000000000000000e+00,7.747076522901916462e+01,1.740105404906562035e+04,9.999553734212112133e-01,1.617173640000009982e+01,2.000000000000000000e+00,1.403876766133775211e+00
5.000000000000000000e+00,1.067940186030537291e+02,1.691169861887592197e+04,9.999856690361900169e-01,1.546638519999987693e+01,3.000000000000000000e+00,1.080973335644073607e+00
6.000000000000000000e+00,5.208904038182665625e+13,1.019211557415950483e+04,1.009465596911659491e+00,2.156681630000002770e+01,6.000000000000000000e+00,9.664732017029316058e-01
7.000000000000000000e+00,8.049360541111499856e+01,1.736372054012041554e+04,9.999218813455302834e-01,1.600791370000001734e+01,1.000000000000000000e+00,1.153726234793480909e+00
8.000000000000000000e+00,2.949644825888193722e+01,1.922520114388533693e+04,1.000202178548373011e+00,1.652759020000007695e+01,6.000000000000000000e+00,1.316926710828049130e+00
9.000000000000000000e+00,3.882741673827924274e+02,1.636562765851407130e+04,9.994680648318979843e-01,1.611721739999984493e+01,4.000000000000000000e+00,1.260298195146278610e+00
1.000000000000000000e+01,2.368774836758468325e+02,1.821841468696701486e+04,1.000562268336389282e+00,1.633610880000014731e+01,6.000000000000000000e+00,1.123852395008524629e+00
1.100000000000000000e+01,2.702235138733584595e+10,1.169733773265650780e+04,1.007597780552343725e+00,2.071861660000013217e+01,6.000000000000000000e+00,1.236810376615581353e+00
1.200000000000000000e+01,7.867033303525867893e+01,1.742055394971092755e+04,9.998953063086882809e-01,1.600984680000010485e+01,2.000000000000000000e+00,1.299981209064402954e+00
1.300000000000000000e+01,1.664143251800579435e+02,1.616873349353466256e+04,9.998936095232897614e-01,1.863871840000001612e+01,5.000000000000000000e+00,9.372291391021811968e-01
1.400000000000000000e+01,1.180429795619142084e+02,1.743765869987215774e+04,9.997400240012810357e-01,1.578756009999983689e+01,5.000000000000000000e+00,1.160921946387408532e+00
