run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,9.669061619943912333e+00,1.164026357505257010e+03,9.924642005331016925e-01,7.254183000000011816e-01,1.000000000000000000e+00,5.449442066735831425e+00
1.000000000000000000e+00,3.169999328578293429e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.537359000000151354e-01,1.000000000000000000e+00,6.190382079368604629e+00
2.000000000000000000e+00,7.458959386069394348e+00,1.164026357505257010e+03,9.924642005331016925e-01,4.200723000000152751e-01,1.000000000000000000e+00,5.133044954404090809e+00
3.000000000000000000e+00,2.791053028335206321e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.649250999998912448e-01,1.000000000000000000e+00,5.592735181752964913e+00
4.000000000000000000e+00,1.421756820014295819e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.381157000000712287e-01,1.000000000000000000e+00,4.627883313323383874e+00
5.000000000000000000e+00,2.079499600212003330e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.589275999999699707e-01,1.000000000000000000e+00,4.908543821810085639e+00
6.000000000000000000e+00,1.085025877062361843e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.652971000000889035e-01,1.000000000000000000e+00,5.425207775593066550e+00
7.000000000000000000e+00,1.668031036899490616e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.879351000000042404e-01,1.000000000000000000e+00,5.337531113036647845e+00
8.000000000000000000e+00,2.529386478148393991e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.434904999998707353e-01,1.000000000000000000e+00,5.341959205304026348e+00
9.000000000000000000e+00,1.760048278912728392e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.772392000000309054e-01,1.000000000000000000e+00,5.006539786828413163e+00
1.000000000000000000e+01,1.171244425777218723e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.134643000000323809e-01,1.000000000000000000e+00,5.858124099478666302e+00
1.100000000000000000e+01,3.373619186575736251e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.344524000001001696e-01,1.000000000000000000e+00,4.654604506184441881e+00
1.200000000000000000e+01,6.287625708328713259e+00,1.164026357505257010e+03,9.924642005331016925e-01,7.083448999999291118e-01,1.000000000000000000e+00,5.360206588627066004e+00
1.300000000000000000e+01,9.043412482710706968e+00,1.164026357505257010e+03,9.924642005331016925e-01,6.647566000001461362e-01,1.000000000000000000e+00,5.241580151290312628e+00
1.400000000000000000e+01,1.740689643116364493e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.617292000000816188e-01,1.000000000000000000e+00,3.990491880968339178e+00
