run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,2.347794060924973447e+00,1.367276588798669081e+03,9.983848352629899336e-01,2.658456260000093607e+01,3.000000000000000000e+00,9.903538905695244976e-01
1.000000000000000000e+00,2.393701039694153820e+01,2.301234424497142300e+03,9.991912644776023145e-01,2.511031109999930777e+01,2.000000000000000000e+00,9.532936451751352624e-01
2.000000000000000000e+00,9.046214049233098464e+00,2.351777153638101936e+03,9.995574117049800256e-01,3.875664519999918411e+01,1.000000000000000000e+00,9.458055466576031911e-01
3.000000000000000000e+00,1.434673811639548013e+01,1.583301508081757447e+03,9.984795989167679631e-01,3.965702170000076876e+01,2.000000000000000000e+00,9.712182949936266629e-01
4.000000000000000000e+00,5.932371460773380178e+00,1.367794548715905421e+03,9.993476904147022832e-01,2.635986059999959252e+01,1.000000000000000000e+00,9.602668384369373866e-01
5.000000000000000000e+00,1.790971862378138013e+01,1.795791634363604317e+03,1.001197808916346688e+00,2.221356230000128562e+01,6.000000000000000000e+00,1.021335510873854213e+00
6.000000000000000000e+00,1.733497511215328046e+01,2.703816648441593770e+03,9.996230888871734388e-01,2.055746259999978065e+01,3.000000000000000000e+00,1.006325556929395626e+00
7.000000000000000000e+00,4.177426443645716247e+00,1.086444102293548667e+03,9.996990652846694525e-01,2.225997079999979178e+01,2.000000000000000000e+00,1.023417784537265174e+00
8.000000000000000000e+00,1.846875257266196835e+00,1.877418711699785490e+03,1.001083131513308411e+00,4.597020479999991949e+01,6.000000000000000000e+00,1.015943374696474777e+00
9.000000000000000000e+00,2.655510312976817033e+01,1.086071062951436488e+03,1.000346221429882609e+00,4.574766379999891797e+01,6.000000000000000000e+00,1.003124994548925786e+00
1.000000000000000000e+01,3.181275997066185823e+01,7.652228419355208189e+02,9.976821062360716752e-01,4.692292989999987185e+01,6.000000000000000000e+00,9.949826257545807406e-01
1.100000000000000000e+01,1.235580715844765542e+01,2.421334506354893165e+03,1.000802918143204323e+00,2.379782200000045123e+01,6.000000000000000000e+00,9.953641976143678960e-01
1.200000000000000000e+01,7.095163288883166608e+00,1.404054852596293358e+03,9.995817216095828073e-01,2.122418010000001232e+01,5.000000000000000000e+00,1.026246945576945402e+00
1.300000000000000000e+01,1.266030886710260539e+01,1.209175614695545164e+03,9.996437473434972576e-01,2.211809379999976954e+01,5.000000000000000000e+00,1.001725112495916337e+00
1.400000000000000000e+01,4.315451691669863976e+01,1.181612156414393439e+03,1.000373730675643502e+00,2.099760550000064541e+01,6.000000000000000000e+00,1.000114036812404850e+00
