run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,6.601694912481539390e+00,1.917610299787201456e+01,9.996543710486150980e-01,4.703640999996423488e-01,1.000000000000000000e+00,1.295538923996247593e+00
1.000000000000000000e+00,9.944392740074917469e+00,1.917610299787201456e+01,9.996543710486150980e-01,8.107050000016897684e-01,1.000000000000000000e+00,1.214220955832205684e+00
2.000000000000000000e+00,4.947072017819717615e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.753789000002143439e-01,1.000000000000000000e+00,2.289353503885032559e+00
3.000000000000000000e+00,7.769210566012496599e+00,1.917610299787201456e+01,9.996543710486150980e-01,7.532064999995782273e-01,1.000000000000000000e+00,1.452125014853977492e+00
4.000000000000000000e+00,9.409230897327665488e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.340100000004895264e-01,1.000000000000000000e+00,1.169500913144599030e+00
5.000000000000000000e+00,5.809908221109941096e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.604273000000830507e-01,1.000000000000000000e+00,1.213837020669353173e+00
6.000000000000000000e+00,9.298884512269147251e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.379449999993084930e-01,1.000000000000000000e+00,1.433295358715149348e+00
7.000000000000000000e+00,4.327097365228722126e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.821183999989443691e-01,1.000000000000000000e+00,1.267604491176918202e+00
8.000000000000000000e+00,1.554615821573346146e+01,1.917610299787201456e+01,9.996543710486150980e-01,3.932044000011956086e-01,1.000000000000000000e+00,2.106092912483893631e+00
9.000000000000000000e+00,6.305354292637556313e+00,1.917610299787201456e+01,9.996543710486150980e-01,7.322748000005958602e-01,1.000000000000000000e+00,1.450958028323705129e+00
1.000000000000000000e+01,4.882591773007353808e+00,1.917610299787201456e+01,9.996543710486150980e-01,7.788347000005160226e-01,1.000000000000000000e+00,1.685209968173131401e+00
1.100000000000000000e+01,5.315705328932639695e+00,1.917610299787201456e+01,9.996543710486150980e-01,7.460700999999971827e-01,1.000000000000000000e+00,1.340356623325346774e+00
1.200000000000000000e+01,3.921754447622746387e+00,1.917610299787201456e+01,9.996543710486150980e-01,3.797421999988728203e-01,1.000000000000000000e+00,1.481268081350109789e+00
1.300000000000000000e+01,1.222551305771121832e+01,1.917610299787201456e+01,9.996543710486150980e-01,3.071600999992369907e-01,1.000000000000000000e+00,1.678684829186085192e+00
1.400000000000000000e+01,6.907876819330746265e+00,1.917610299787201456e+01,9.996543710486150980e-01,4.076557999997021398e-01,1.000000000000000000e+00,1.264853830119372136e+00
