run,lambda_MBD,lambda_DDD
1,1164.026357505257,14682.773980383045
2,1164.026357505257,16532.14465892091
3,1164.026357505257,15475.434624362288
4,1164.026357505257,15222.50357492754
5,1164.026357505257,17401.05404906562
6,1164.026357505257,16911.698618875922
7,1164.026357505257,10192.115574159505
8,1164.026357505257,17363.720540120416
9,1164.026357505257,19225.201143885337
10,1164.026357505257,16365.627658514071
11,1164.026357505257,18218.414686967015
12,1164.026357505257,11697.337732656508
13,1164.026357505257,17420.553949710928
14,1164.026357505257,16168.733493534663
15,1164.026357505257,17437.658699872158
