run,lambda_MBD,lambda_DDD
1,19.176102997872015,1367.276588798669
2,19.176102997872015,2301.2344244971423
3,19.176102997872015,2351.777153638102
4,19.176102997872015,1583.3015080817574
5,19.176102997872015,1367.7945487159054
6,19.176102997872015,1795.7916343636043
7,19.176102997872015,2703.8166484415938
8,19.176102997872015,1086.4441022935487
9,19.176102997872015,1877.4187116997855
10,19.176102997872015,1086.0710629514365
11,19.176102997872015,765.2228419355208
12,19.176102997872015,2421.334506354893
13,19.176102997872015,1404.0548525962934
14,19.176102997872015,1209.1756146955452
15,19.176102997872015,1181.6121564143934
