run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,3.384890633002507343e+01,1.098161572355877169e+01,1.000401904694373068e+00,2.576217259999975795e+01,6.000000000000000000e+00,1.074128157964451269e+00
1.000000000000000000e+00,2.107324923582692122e+02,1.310948524150965966e+02,9.999645896847693116e-01,2.861154470000110450e+01,4.000000000000000000e+00,1.082386509526652940e+00
2.000000000000000000e+00,2.690137766906507863e+02,5.843020101912141939e+01,9.998908001650119726e-01,2.772634319999997388e+01,6.000000000000000000e+00,1.061715920763760534e+00
3.000000000000000000e+00,3.076679920179375659e+184,8.295951271127686155e-01,1.115028394157568492e+00,2.865205900000000838e+01,6.000000000000000000e+00,1.047045170470994435e+00
4.000000000000000000e+00,7.068195007904513716e+01,4.178626560455704464e+01,9.998424035152582157e-01,2.583605829999942216e+01,3.000000000000000000e+00,1.094642598789949073e+00
5.000000000000000000e+00,8.175812870562374712e+01,1.257081243145667138e+01,9.999296409148705767e-01,2.595921000000089407e+01,6.000000000000000000e+00,1.054539024877839459e+00
6.000000000000000000e+00,7.228510294769527889e+01,6.331601048196387893e+01,9.999831411752228005e-01,2.869927349999852595e+01,6.000000000000000000e+00,1.041511556032996388e+00
7.000000000000000000e+00,1.776695784926783404e+02,3.162224861405526966e+01,9.997946462666225109e-01,2.531421620000037365e+01,1.000000000000000000e+00,1.055483993219572980e+00
8.000000000000000000e+00,2.633563300551574926e+01,7.915873111659579298e-01,9.999350654662997329e-01,2.922600850000162609e+01,2.000000000000000000e+00,1.074599358992120113e+00
9.000000000000000000e+00,5.573622845418000793e+01,7.843106683862092865e+00,9.998395413492286998e-01,2.900524600000062492e+01,4.000000000000000000e+00,9.922773969922330517e-01
1.000000000000000000e+01,4.369417198569878735e+01,7.057401985449455140e+01,1.000621083421182389e+00,3.279475489999822457e+01,6.000000000000000000e+00,1.038180498796831719e+00
1.100000000000000000e+01,1.663740445023189807e+01,4.860762995828231681e+01,9.998343031793952562e-01,3.472814730000027339e+01,1.000000000000000000e+00,1.007378098744695416e+00
1.200000000000000000e+01,2.912531559319398866e+01,1.727650056907996223e+00,1.000004179377829816e+00,3.215043169999989914e+01,6.000000000000000000e+00,9.860870701776641711e-01
1.300000000000000000e+01,3.304462536198919054e+01,7.826367158097139454e-01,9.998921672255244308e-01,2.953921999999874970e+01,3.000000000000000000e+00,1.092297799332594632e+00
1.400000000000000000e+01,5.172738649420878687e+01,3.672331592986030557e+01,9.996527496667640955e-01,3.179273740000280668e+01,2.000000000000000000e+00,1.013399682909882360e+00
