run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,1.916018614523197883e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.748216000014508609e-01,1.000000000000000000e+00,4.955013295355114700e+00
1.000000000000000000e+00,3.268862208018725823e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.256632999975408893e-01,1.000000000000000000e+00,6.093533055263085529e+00
2.000000000000000000e+00,1.656685094063163532e+01,1.164026357505257010e+03,9.924642005331016925e-01,2.254220899998472305e+00,1.000000000000000000e+00,1.926940700444638610e+00
3.000000000000000000e+00,1.143207511980090629e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.370801999983086716e-01,1.000000000000000000e+00,5.518339763203020887e+00
4.000000000000000000e+00,3.565214996589615737e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.275357000013173092e-01,1.000000000000000000e+00,4.606311640905739857e+00
5.000000000000000000e+00,1.874019526247723277e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.541342000018630642e-01,1.000000000000000000e+00,6.019407026858992538e+00
6.000000000000000000e+00,1.259401134810727818e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.296226000013120938e-01,1.000000000000000000e+00,4.094714833925318764e+00
7.000000000000000000e+00,8.527758750195172155e+00,1.164026357505257010e+03,9.924642005331016925e-01,8.423312000013538636e-01,1.000000000000000000e+00,4.025287202936980613e+00
8.000000000000000000e+00,2.120089974560529811e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.258305000010295771e-01,1.000000000000000000e+00,5.542634946673729246e+00
9.000000000000000000e+00,2.388129042628174403e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.199152000008325558e-01,1.000000000000000000e+00,6.124829654112208921e+00
1.000000000000000000e+01,1.811970828567295655e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.916797000012593344e-01,1.000000000000000000e+00,4.902016063206461993e+00
1.100000000000000000e+01,1.174765407271866735e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.484759000013582408e-01,1.000000000000000000e+00,5.011751400465604078e+00
1.200000000000000000e+01,1.885847295256047929e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.428148999984841794e-01,1.000000000000000000e+00,4.788509102709440413e+00
1.300000000000000000e+01,1.087435541133451267e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.600039000004471745e-01,1.000000000000000000e+00,5.823829222823373897e+00
1.400000000000000000e+01,2.605866229732547623e+01,1.164026357505257010e+03,9.924642005331016925e-01,6.323563000005378854e-01,1.000000000000000000e+00,5.954910230192688836e+00
