run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,1.112471209330102084e+01,6.789249862765567300e-01,9.997166518190966356e-01,1.881213110000135202e+01,1.000000000000000000e+00,1.083077716803628743e+00
1.000000000000000000e+00,7.312310702563954656e+00,8.426143585351362209e-01,9.992717800248863691e-01,2.116198860000076820e+01,2.000000000000000000e+00,9.273703133929146469e-01
2.000000000000000000e+00,2.043960187987228849e+01,5.174752330614462714e+00,9.987032502859960470e-01,1.806376529999943159e+01,1.000000000000000000e+00,1.166008285105468278e+00
3.000000000000000000e+00,6.289880070208509366e+00,5.607589164794771541e+00,9.996597276824986666e-01,2.221856049999951210e+01,6.000000000000000000e+00,1.010557142079501203e+00
4.000000000000000000e+00,4.968934685453760380e+01,8.640610787321100361e+04,9.995532484133052842e-01,2.206144730000050913e+01,2.000000000000000000e+00,1.009254954909485358e+00
5.000000000000000000e+00,2.105232509365012916e+01,1.006605191875964866e+00,9.996789247744281015e-01,1.846508160000121279e+01,1.000000000000000000e+00,1.060278282225338931e+00
6.000000000000000000e+00,6.248698771778800953e+00,5.795607948500045126e+01,9.999933817176858142e-01,2.261409260000073118e+01,1.000000000000000000e+00,9.334610666624455488e-01
7.000000000000000000e+00,1.219046394985380743e+01,3.143359855819097604e+01,9.999948437252945688e-01,1.873465679999935674e+01,1.000000000000000000e+00,1.058366065184641158e+00
8.000000000000000000e+00,1.547805718802457164e+01,2.583407216871594159e+01,9.999629701341070653e-01,1.865423430000009830e+01,1.000000000000000000e+00,1.081356365294494859e+00
9.000000000000000000e+00,1.219336183472846891e+01,0.000000000000000000e+00,9.999251161520265052e-01,2.059571610000057262e+01,5.000000000000000000e+00,1.015836249558684568e+00
1.000000000000000000e+01,1.441852896999053080e+01,1.988716201089842484e+00,9.989963705123037219e-01,1.967823250000037660e+01,1.000000000000000000e+00,1.067963039871573816e+00
1.100000000000000000e+01,6.369104056369859279e+01,6.665881178799616613e+00,9.995410192739632160e-01,1.953122160000020813e+01,1.000000000000000000e+00,1.098401597163782606e+00
1.200000000000000000e+01,2.611593236984061051e+01,3.990273760143771398e+01,9.996910038444466462e-01,1.996106030000009923e+01,3.000000000000000000e+00,1.024651230576158145e+00
1.300000000000000000e+01,6.409077402863064599e+00,4.750989977104969597e+01,9.984623712320018774e-01,2.133047629999964556e+01,5.000000000000000000e+00,9.522759695713094441e-01
1.400000000000000000e+01,1.164243656515362169e+01,7.588189047733980175e+00,9.988500723169793094e-01,2.017879899999934423e+01,4.000000000000000000e+00,1.044567865510761306e+00
