run,J,lambda,rho,time,attempts,stress
0.000000000000000000e+00,3.971957361360069605e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.393452000000252156e-01,1.000000000000000000e+00,2.808718084121800462e+00
1.000000000000000000e+00,6.398971517175787049e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.862758000010217074e-01,1.000000000000000000e+00,2.346950039079803929e+00
2.000000000000000000e+00,5.689361838388593995e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.698601000010967255e-01,1.000000000000000000e+00,3.184520423717724480e+00
3.000000000000000000e+00,7.928728824928099606e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.422905999992508441e-01,1.000000000000000000e+00,3.804831883708449158e+00
4.000000000000000000e+00,1.251557142185290949e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.794347999988531228e-01,1.000000000000000000e+00,3.019487909177607676e+00
5.000000000000000000e+00,1.571139800563708633e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.699358999998366926e-01,1.000000000000000000e+00,2.720553286911612467e+00
6.000000000000000000e+00,1.260266041333868614e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.594241999995574588e-01,1.000000000000000000e+00,3.794460963941217457e+00
7.000000000000000000e+00,7.650840229841221252e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.345029999996768311e-01,1.000000000000000000e+00,3.198253327253952172e+00
8.000000000000000000e+00,4.921175142923679857e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.561313000005611684e-01,1.000000000000000000e+00,2.989189528957696851e+00
9.000000000000000000e+00,1.534824696468538008e+01,1.917610299815659758e+01,9.996543728187574640e-01,1.395899999988614582e-01,1.000000000000000000e+00,3.246113618480520380e+00
1.000000000000000000e+01,5.529773284428242341e+00,1.917610299815659758e+01,9.996543728187574640e-01,5.870519000000058440e-01,1.000000000000000000e+00,1.250954131994109320e+00
1.100000000000000000e+01,5.740970843220966735e+00,1.917610299815659758e+01,9.996543728187574640e-01,2.598906000002898509e-01,1.000000000000000000e+00,3.547165615066385058e+00
1.200000000000000000e+01,8.273605595587323336e+00,1.917610299815659758e+01,9.996543728187574640e-01,3.185761000004276866e-01,1.000000000000000000e+00,2.893735594097493369e+00
1.300000000000000000e+01,1.231876280247332645e+01,1.917610299815659758e+01,9.996543728187574640e-01,3.687879999997676350e-01,1.000000000000000000e+00,4.025008948232955852e+00
1.400000000000000000e+01,1.053538469052340432e+01,1.917610299815659758e+01,9.996543728187574640e-01,2.639206999992893543e-01,1.000000000000000000e+00,3.670610149194847072e+00
