run,stress_MBD,stress_DDD
1,2.8087180841218005,1.0830777168036287
2,2.346950039079804,0.9273703133929146
3,3.1845204237177245,1.1660082851054683
4,3.804831883708449,1.0105571420795012
5,3.0194879091776077,1.0092549549094854
6,2.7205532869116125,1.060278282225339
7,3.7944609639412175,0.9334610666624455
8,3.198253327253952,1.0583660651846412
9,2.989189528957697,1.0813563652944949
10,3.2461136184805204,1.0158362495586846
11,1.2509541319941093,1.0679630398715738
12,3.547165615066385,1.0984015971637826
13,2.8937355940974934,1.0246512305761581
14,4.025008948232956,0.9522759695713094
15,3.670610149194847,1.0445678655107613
