run,stress_MBD,stress_DDD
1,2.093653528067283,1.6254213276641476
2,2.3371770970377717,1.1203020325542894
3,1.6672191266239051,1.651346102351959
4,2.152368561993485,1.5322326117878569
5,2.1021471380522394,1.2399506508764397
6,2.041845362462395,1.4407118977246838
7,2.418467729675184,1.537035067665453
8,2.4450286707254945,1.463248018710873
9,2.1065518661653733,1.4091222649255069
10,2.386420469433673,1.386321626638854
11,2.220393006928636,1.5328613136252152
12,2.1720321266131184,1.4811527325903773
13,2.2358292686434456,1.5052852970835389
14,2.1718778729289676,1.7109712139783477
15,2.175552123645191,1.2750510798368782
