run,cost_MBD,cost_DDD
1,5.624763756972283,8.095068641846408
2,3.656653141316557,13.880640402673317
3,4.104884532192338,7.033902767514824
4,7.936743474529008,6.546561451855184
5,8.361561367665024,1.853821554638475
6,9.008492234212087,1.6762619518829227
7,13.677889261404006,1.7745398187622574
8,8.415455289882276,29.04314216477742
9,6.482821135347114,3.3097495242769055
10,10.922202169973403,19.604093360870685
11,14.964931445506421,7.727992306382991
12,9.163866931455017,13.43229751971532
13,5.364956413852371,5.041552040842075
14,5.024195570566185,3.1232594327183207
15,8.592276135697738,10.504129614281979
