N_sims,J_mean,J_std,rho_mean,rho_std,obj_mean,obj_std
1,7.725841727687593,5.24156245902531,0.9990443043119619,0.0008085835487956336,12.105725551427076,9.129628847944616
2,9.396452629472742,6.0040482204699215,0.9990109258887715,0.0001461850658589852,13.227906080268426,13.202784343483161
3,7.425771647486644,7.01196485080388,0.9989907831191216,0.00027373725057805486,7.498447207509382,8.44104890642024
5,6.622314473464558,3.5785707157458626,0.998807111026289,0.0004280607477864444,3.845281308464932,3.7807428766485365
8,3.501946010323374,2.2363205865392968,0.9988543630018224,0.0003339260820754157,1.7104869323254341,1.5439592162219324
12,5.323427974847977,4.734575798168063,0.9989047917845028,0.0003537637825685626,0.6515746410112104,1.4278802152927044
16,3.2146285981537814,2.4016489468359015,0.999079438747664,0.00018633084106499937,0.5802675817721615,0.5793737017422981
20,3.4810757052441206,3.625976650408101,0.9985333329407483,0.001599975844399962,0.36501484725789957,0.5459938512311033
25,4.164322838990592,4.460779480381674,0.9989693840651803,0.0003341500466808204,0.2861457250296925,0.4522441630150693
30,4.603690294222561,4.696240146159453,0.9985678996233226,0.0008941233910864345,0.332119853228034,0.5220280900455551
40,4.068128708016093,2.3718854344971803,0.9989222604112864,0.00043345600041676155,0.11951398381644174,0.19694060732664861
50,8.9011610611305,6.496686720185386,0.9991204206421129,0.00022914401049523887,0.0450323380713758,0.037029307684747985
65,4.65075158584015,3.460644303314391,0.998476934603373,0.0012356209917212613,0.09875140300261323,0.10882794366328652
80,8.41276348578219,5.123304878015345,0.9989808639568478,0.0002230007503193618,0.03966763050654113,0.03874146805870204
100,9.001993532593676,6.0070578716419725,0.9989417153415374,0.00031033163452996243,0.03721405304757529,0.023702228823528144
120,7.355506324651762,5.652667587058387,0.9990346146732707,0.00034448208909385286,0.041793217153851765,0.031246305796091552
150,10.26219682731033,6.047680481878194,0.998787387218748,0.0004806374944595443,0.026208758636660796,0.02232483058711483
